"Package","Version","LibPath"
"bslib","0.9.0","/usr/local/lib/R/site-library"
"cachem","1.1.0","/usr/local/lib/R/site-library"
"Cairo","1.6-2","/usr/local/lib/R/site-library"
"callr","3.7.6","/usr/local/lib/R/site-library"
"cellranger","1.1.0","/usr/local/lib/R/site-library"
"cleanrmd","0.1.1","/usr/local/lib/R/site-library"
"cli","3.6.4","/usr/local/lib/R/site-library"
"clipr","0.8.0","/usr/local/lib/R/site-library"
"collapse","2.0.19","/usr/local/lib/R/site-library"
"colorspace","2.1-1","/usr/local/lib/R/site-library"
"commonmark","1.9.2","/usr/local/lib/R/site-library"
"conflicted","1.2.0","/usr/local/lib/R/site-library"
"coro","1.1.0","/usr/local/lib/R/site-library"
"covr","3.6.4","/usr/local/lib/R/site-library"
"cpp11","0.5.1","/usr/local/lib/R/site-library"
"crayon","1.5.3","/usr/local/lib/R/site-library"
"credentials","2.0.2","/usr/local/lib/R/site-library"
"crosstalk","1.2.1","/usr/local/lib/R/site-library"
"curl","6.2.1","/usr/local/lib/R/site-library"
"data.table","1.17.0","/usr/local/lib/R/site-library"
"DBI","1.2.3","/usr/local/lib/R/site-library"
"dbplyr","2.5.0","/usr/local/lib/R/site-library"
"desc","1.4.3","/usr/local/lib/R/site-library"
"devtools","2.4.5","/usr/local/lib/R/site-library"
"diffobj","0.3.5","/usr/local/lib/R/site-library"
"digest","0.6.37","/usr/local/lib/R/site-library"
"docopt","0.7.1","/usr/local/lib/R/site-library"
"downlit","0.4.4","/usr/local/lib/R/site-library"
"dplyr","1.1.4","/usr/local/lib/R/site-library"
"DT","0.33","/usr/local/lib/R/site-library"
"dtplyr","1.3.1","/usr/local/lib/R/site-library"
"dygraphs","1.1.1.6","/usr/local/lib/R/site-library"
"ellipsis","0.3.2","/usr/local/lib/R/site-library"
"evaluate","1.0.3","/usr/local/lib/R/site-library"
"fansi","1.0.6","/usr/local/lib/R/site-library"
"farver","2.1.2","/usr/local/lib/R/site-library"
"fastmap","1.2.0","/usr/local/lib/R/site-library"
"feather","0.3.5","/usr/local/lib/R/site-library"
"fontawesome","0.5.3","/usr/local/lib/R/site-library"
"forcats","1.0.0","/usr/local/lib/R/site-library"
"Formula","1.2-5","/usr/local/lib/R/site-library"
"fs","1.6.5","/usr/local/lib/R/site-library"
"future","1.34.0","/usr/local/lib/R/site-library"
"gargle","1.5.2","/usr/local/lib/R/site-library"
"generics","0.1.3","/usr/local/lib/R/site-library"
"gert","2.1.4","/usr/local/lib/R/site-library"
"ggplot2","3.5.1","/usr/local/lib/R/site-library"
"gh","1.4.1","/usr/local/lib/R/site-library"
"gitcreds","0.1.2","/usr/local/lib/R/site-library"
"globals","0.16.3","/usr/local/lib/R/site-library"
"glue","1.8.0","/usr/local/lib/R/site-library"
"googledrive","2.1.1","/usr/local/lib/R/site-library"
"googlesheets4","1.1.1","/usr/local/lib/R/site-library"
"gtable","0.3.6","/usr/local/lib/R/site-library"
"haven","2.5.4","/usr/local/lib/R/site-library"
"here","1.0.1","/usr/local/lib/R/site-library"
"highr","0.11","/usr/local/lib/R/site-library"
"hms","1.1.3","/usr/local/lib/R/site-library"
"htmltools","0.5.8.1","/usr/local/lib/R/site-library"
"htmlwidgets","1.6.4","/usr/local/lib/R/site-library"
